"vote","prtvede1","prtvede2","gndr","agea"
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"Yes",NA,"The Greens","Female",40
"Yes","The Greens","The Greens","Female",28
"Yes",NA,NA,"Female",70
"Not eligible to vote",NA,NA,"Female",16
"Yes","Other","The Left (Die Linke)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",85
"Yes","Social Democratic Party (SPD)","The Greens","Male",38
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes","The Greens","Social Democratic Party (SPD)","Female",86
"Not eligible to vote",NA,NA,"Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Male",47
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",63
"Yes","The Greens","The Greens","Male",42
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",31
"Yes",NA,NA,"Male",19
"Yes","The Greens","The Greens","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",77
"Not eligible to vote",NA,NA,"Male",34
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",81
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",30
"Yes","Social Democratic Party (SPD)",NA,"Male",67
"No",NA,NA,"Male",65
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",48
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",54
"Yes",NA,NA,"Female",40
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",19
"Not eligible to vote",NA,NA,"Female",40
"Yes","Other","Other","Female",56
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",80
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",69
"Yes","Other","The Greens","Female",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",25
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",69
"No",NA,NA,"Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",58
"Yes","Social Democratic Party (SPD)","The Greens","Male",28
"Yes",NA,"Alternative for Germany (AFD)","Female",73
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",36
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,NA,"Male",57
"Yes","The Greens","The Left (Die Linke)","Female",58
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",33
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",82
"Not eligible to vote",NA,NA,"Female",64
"Yes",NA,"The Left (Die Linke)","Female",83
"Yes",NA,"The Greens","Female",40
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",74
"Yes",NA,NA,"Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",63
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",54
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Male",76
"No",NA,NA,"Female",28
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",29
"Yes",NA,NA,"Female",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",22
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",25
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",62
"No",NA,NA,"Female",25
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",71
"Yes","The Greens","The Greens","Male",62
"No",NA,NA,"Male",35
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","The Greens","The Left (Die Linke)","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",65
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",46
"Not eligible to vote",NA,NA,"Male",35
"Yes",NA,"Other","Male",30
"Not eligible to vote",NA,NA,"Female",42
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",50
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","Social Democratic Party (SPD)","The Greens","Female",58
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",41
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Male",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",41
"Yes","The Greens","The Greens","Male",65
"Yes","The Left (Die Linke)",NA,"Female",33
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",61
"Yes",NA,NA,"Female",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",71
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",69
"Not eligible to vote",NA,NA,"Female",19
"Yes","The Greens","The Greens","Female",44
"Yes",NA,NA,"Female",52
"Yes","The Greens","The Greens","Female",52
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",23
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Female",52
"Not eligible to vote",NA,NA,"Male",17
"Not eligible to vote",NA,NA,"Female",16
"Not eligible to vote",NA,NA,"Male",69
"No",NA,NA,"Female",68
"Not eligible to vote",NA,NA,"Male",18
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",56
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",58
"Not eligible to vote",NA,NA,"Male",16
"Not eligible to vote",NA,NA,"Female",40
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",56
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",80
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",25
"Yes","The Greens","The Greens","Female",23
"Not eligible to vote",NA,NA,"Male",17
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",33
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",80
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",86
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",23
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",22
"Yes","Other","Other","Male",23
"Yes","The Greens","The Greens","Female",58
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",28
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Female",26
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",59
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","The Greens","The Greens","Female",30
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",22
"Yes","The Greens","The Greens","Male",22
"Yes","Alternative for Germany (AFD)","The Left (Die Linke)","Male",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",40
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",50
"Not eligible to vote",NA,NA,"Female",18
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",73
"No",NA,NA,"Female",44
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",19
"Yes",NA,NA,"Female",34
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",24
"Yes","Pirate Party (Piratenpartei)","Pirate Party (Piratenpartei)","Male",33
"Yes",NA,"Social Democratic Party (SPD)","Male",68
"Yes",NA,NA,"Female",59
"Not eligible to vote",NA,NA,"Male",43
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",74
"No",NA,NA,"Female",31
"Not eligible to vote",NA,NA,"Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",64
"Not eligible to vote",NA,NA,"Female",18
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",48
"Not eligible to vote",NA,NA,"Female",48
"Yes","The Greens","The Greens","Female",35
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",73
"Yes",NA,"The Greens","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",30
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",62
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",80
"Yes","The Greens","Social Democratic Party (SPD)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",54
"Yes","The Greens","The Greens","Male",30
"No",NA,NA,"Male",84
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",49
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Not eligible to vote",NA,NA,"Male",40
"Yes","The Greens","Social Democratic Party (SPD)","Male",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",39
"No",NA,NA,"Male",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"Yes",NA,NA,"Female",19
"Not eligible to vote",NA,NA,"Male",63
"No",NA,NA,"Male",59
"Not eligible to vote",NA,NA,"Female",71
"Yes",NA,NA,"Female",22
"Not eligible to vote",NA,NA,"Female",32
"No",NA,NA,"Female",53
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",70
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",44
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",32
"Yes","The Greens","The Greens","Female",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",52
"Yes","Social Democratic Party (SPD)","The Greens","Male",62
"Yes",NA,NA,"Female",84
"Yes",NA,"Social Democratic Party (SPD)","Female",19
"No",NA,NA,"Male",34
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",35
"Yes",NA,NA,"Female",84
"No",NA,NA,"Female",26
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Social Democratic Party (SPD)","The Greens","Male",37
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",73
"Yes","Other","The Greens","Female",64
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",34
"No",NA,NA,"Male",35
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",47
"Yes",NA,NA,"Male",28
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",55
"No",NA,NA,"Female",71
"Yes",NA,NA,"Female",39
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",27
"Yes",NA,NA,"Male",29
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"No",NA,NA,"Male",66
"Yes","The Greens","The Greens","Female",67
"Yes","The Left (Die Linke)","Pirate Party (Piratenpartei)","Female",36
"Yes","The Greens","The Greens","Female",38
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",65
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",19
"No",NA,NA,"Male",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",56
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Female",50
"Yes",NA,NA,"Male",48
"Yes",NA,NA,"Female",64
"Yes",NA,"The Left (Die Linke)","Male",66
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",35
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes",NA,NA,"Female",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"No",NA,NA,"Male",45
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",21
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",80
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",65
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",23
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",44
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",69
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",52
"Yes","The Greens","Social Democratic Party (SPD)","Male",62
"No",NA,NA,"Male",20
"Yes","The Greens","The Greens","Male",32
"No",NA,NA,"Female",44
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",68
"Yes",NA,NA,"Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",23
"Yes","Social Democratic Party (SPD)","The Greens","Female",52
"Yes","The Greens","The Greens","Female",39
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"No",NA,NA,"Female",42
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",34
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",78
"Yes","Social Democratic Party (SPD)","The Greens","Female",38
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",88
"Yes",NA,"Free Democratic Party (FDP)","Female",54
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",82
"Not eligible to vote",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",48
"No",NA,NA,"Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",79
"No",NA,NA,"Female",48
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes",NA,"The Greens","Female",56
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",79
"Not eligible to vote",NA,NA,"Male",17
"Yes","The Greens","The Greens","Female",57
"Not eligible to vote",NA,NA,"Female",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",61
"No",NA,NA,"Male",70
"No",NA,NA,"Male",54
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",48
"Yes","The Greens","The Greens","Female",49
"Yes","The Greens","The Left (Die Linke)","Female",29
"No",NA,NA,"Male",50
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",27
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",48
"Yes",NA,"The Greens","Male",51
"Yes","The Greens","Pirate Party (Piratenpartei)","Male",23
"Yes","The Greens","The Greens","Female",60
"Not eligible to vote",NA,NA,"Female",28
"Not eligible to vote",NA,NA,"Male",16
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",29
"Not eligible to vote",NA,NA,"Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",56
"Yes",NA,NA,"Male",23
"Yes","The Left (Die Linke)","Free Democratic Party (FDP)","Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",77
"No",NA,NA,"Male",41
"Yes",NA,"The Greens","Female",39
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",88
"Yes",NA,NA,"Female",55
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",57
"No",NA,NA,"Female",18
"Yes","Alternative for Germany (AFD)",NA,"Male",59
"Yes","The Left (Die Linke)",NA,"Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",48
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",41
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes","The Greens","The Greens","Female",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",65
"Yes","The Greens","Social Democratic Party (SPD)","Female",35
"Yes",NA,NA,"Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",52
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",45
"Yes",NA,NA,"Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",71
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Yes","Social Democratic Party (SPD)","The Greens","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",43
"Yes","Other","The Greens","Male",20
"No",NA,NA,"Male",57
"No",NA,NA,"Male",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",34
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",45
"Yes","The Greens","Social Democratic Party (SPD)","Female",61
"No",NA,NA,"Female",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",28
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Female",35
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",54
"No",NA,NA,"Female",85
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",53
"No",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"No",NA,NA,"Female",26
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Yes",NA,NA,"Female",46
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",70
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",44
"Yes","Alternative for Germany (AFD)","Free Democratic Party (FDP)","Male",34
"Yes",NA,NA,"Female",28
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",75
"Not eligible to vote",NA,NA,"Female",47
"Yes","The Greens","The Greens","Male",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",29
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",47
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Yes","The Greens",NA,"Male",62
"Yes","The Greens","The Greens","Male",54
"Yes",NA,NA,"Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",79
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",68
"Yes","The Left (Die Linke)","The Greens","Male",22
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",32
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",54
"Yes","Social Democratic Party (SPD)","The Greens","Male",24
"No",NA,NA,"Female",50
"Yes","Social Democratic Party (SPD)","The Greens","Female",61
"Yes",NA,NA,"Male",59
"Not eligible to vote",NA,NA,"Female",16
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",63
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",69
"No",NA,NA,"Male",22
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",74
"Yes",NA,"Other","Female",63
"Not eligible to vote",NA,NA,"Male",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",69
"Yes","The Greens","The Left (Die Linke)","Female",42
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",27
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",55
"Not eligible to vote",NA,NA,"Male",35
"Not eligible to vote",NA,NA,"Male",17
"No",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",37
"Yes","Social Democratic Party (SPD)","The Greens","Female",57
"Yes",NA,NA,"Female",60
"No",NA,NA,"Male",53
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",64
"Yes","Social Democratic Party (SPD)","The Greens","Male",48
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"No",NA,NA,"Female",90
"No",NA,NA,"Male",56
"Yes","The Greens","The Greens","Male",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",31
"Yes",NA,NA,"Female",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",51
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",56
"No",NA,NA,"Male",55
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",60
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",77
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",90
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",81
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",87
"Yes","The Greens","The Greens","Female",25
"No",NA,NA,"Female",38
"Yes","The Left (Die Linke)","Christian Democratic Union (CDU/CSU)","Male",64
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",52
"No",NA,NA,"Female",20
"No",NA,NA,"Male",64
"Yes",NA,NA,"Female",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",76
