Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
1872,Nova Scotia,CAPE BRETON,Conservative,1038,25.37
1872,Nova Scotia,CAPE BRETON,Liberal-Conservative,932,22.78
1872,Nova Scotia,CAPE BRETON,Liberal-Conservative,882,21.55
1872,Nova Scotia,COLCHESTER,Liberal,1634,57.47
1872,Nova Scotia,COLCHESTER,Unknown,1209,42.53
1872,Nova Scotia,CUMBERLAND,Conservative,1911,74.62
1872,Nova Scotia,CUMBERLAND,Unknown,650,25.38
1872,Nova Scotia,DIGBY,Conservative,accl.,NA
1872,Nova Scotia,GUYSBOROUGH,Liberal-Conservative,accl.,NA
1872,Nova Scotia,HALIFAX,Liberal-Conservative,2528,25.55
1872,Nova Scotia,HALIFAX,Liberal,2486,25.12
1872,Nova Scotia,HALIFAX,Independent Liberal,2452,24.78
1872,Nova Scotia,HALIFAX,Independent,2430,24.56
1872,Nova Scotia,HANTS,Liberal-Conservative,accl.,NA
1872,Nova Scotia,INVERNESS,Conservative,1293,51.21
1872,Nova Scotia,INVERNESS,Liberal-Conservative,1232,48.79
1872,Nova Scotia,KINGS,Liberal,1317,64.88
1872,Nova Scotia,KINGS,Unknown,713,35.12
1872,Nova Scotia,LUNENBURG,Liberal,1338,52.62
1872,Nova Scotia,LUNENBURG,Unknown,1205,47.38
1872,Nova Scotia,PICTOU,Liberal-Conservative,2328,26.49
1872,Nova Scotia,PICTOU,Conservative,2327,26.48
1872,Nova Scotia,PICTOU,Liberal,2122,24.15
1872,Nova Scotia,PICTOU,Unknown,2011,22.88
1872,Nova Scotia,QUEENS,Liberal,accl.,NA
1872,Nova Scotia,RICHMOND,Conservative,571,65.56
1872,Nova Scotia,RICHMOND,Unknown,300,34.44
1872,Nova Scotia,SHELBURNE,Liberal-Conservative,accl.,NA
1872,Nova Scotia,VICTORIA,Liberal,accl.,NA
1872,Nova Scotia,YARMOUTH,Liberal,1176,72.77
1872,Nova Scotia,YARMOUTH,Unknown,440,27.23
1872,Ontario,ADDINGTON,Liberal-Conservative,1495,63.78
1872,Ontario,ADDINGTON,Conservative,849,36.22
1872,Ontario,ALGOMA,Conservative,300,57.8
1872,Ontario,ALGOMA,Unknown,219,42.2
1872,Ontario,BOTHWELL,Liberal,1727,60.34
1872,Ontario,BOTHWELL,Unknown,1135,39.66
1872,Ontario,BRANT NORTH,Liberal,882,60.7
1872,Ontario,BRANT NORTH,Unknown,571,39.3
1872,Ontario,BRANT SOUTH,Liberal,1378,55.25
1872,Ontario,BRANT SOUTH,Liberal-Conservative,1116,44.75
1872,Ontario,BROCKVILLE,Liberal,804,50.34
1872,Ontario,BROCKVILLE,Unknown,793,49.66
1872,Ontario,BRUCE NORTH,Liberal,974,50.6
1872,Ontario,BRUCE NORTH,Conservative,951,49.4
1872,Ontario,BRUCE SOUTH,Liberal,1878,90.81
1872,Ontario,BRUCE SOUTH,Conservative,190,9.19
1872,Ontario,CARDWELL,Conservative,1232,54.8
1872,Ontario,CARDWELL,Unknown,1016,45.2
1872,Ontario,CARLETON,Conservative,1024,52.97
1872,Ontario,CARLETON,Unknown,901,46.61
1872,Ontario,CARLETON,Unknown,6,0.31
1872,Ontario,CARLETON,Unknown,2,0.1
1872,Ontario,CORNWALL,Liberal-Conservative,accl.,NA
1872,Ontario,DUNDAS,Independent Liberal,1350,51.68
1872,Ontario,DUNDAS,Liberal-Conservative,1262,48.32
1872,Ontario,DURHAM EAST,Liberal,1357,54.85
1872,Ontario,DURHAM EAST,Unknown,1117,45.15
1872,Ontario,DURHAM WEST,Liberal,accl.,NA
1872,Ontario,ELGIN EAST,Liberal,1658,52.67
1872,Ontario,ELGIN EAST,Unknown,1490,47.33
1872,Ontario,ELGIN WEST,Liberal,1115,52.15
1872,Ontario,ELGIN WEST,Conservative,1023,47.85
1872,Ontario,ESSEX,Conservative,1999,61.75
1872,Ontario,ESSEX,Unknown,1238,38.25
1872,Ontario,FRONTENAC,Conservative,accl.,NA
1872,Ontario,GLENGARRY,Liberal,1289,86.98
1872,Ontario,GLENGARRY,Unknown,193,13.02
1872,Ontario,GRENVILLE SOUTH,Liberal,951,52.34
1872,Ontario,GRENVILLE SOUTH,Conservative,866,47.66
1872,Ontario,GREY EAST,Conservative,1402,62.06
1872,Ontario,GREY EAST,Unknown,857,37.94
1872,Ontario,GREY NORTH,Liberal,1124,53.35
1872,Ontario,GREY NORTH,Unknown,983,46.65
1872,Ontario,GREY SOUTH,Liberal,1150,54.07
1872,Ontario,GREY SOUTH,Conservative,977,45.93
1872,Ontario,HALDIMAND,Liberal,accl.,NA
1872,Ontario,HALTON,Liberal,1414,52.53
1872,Ontario,HALTON,Unknown,1278,47.47
1872,Ontario,HAMILTON,Liberal-Conservative,1443,26.07
1872,Ontario,HAMILTON,Conservative-Labour,1422,25.69
1872,Ontario,HAMILTON,Liberal,1346,24.32
1872,Ontario,HAMILTON,Liberal,1324,23.92
1872,Ontario,HASTINGS EAST,Conservative,818,44.92
1872,Ontario,HASTINGS EAST,Unknown,774,42.5
1872,Ontario,HASTINGS EAST,Unknown,229,12.58
1872,Ontario,HASTINGS NORTH,Conservative,766,57.81
1872,Ontario,HASTINGS NORTH,Unknown,559,42.19
1872,Ontario,HASTINGS WEST,Conservative,1030,64.17
1872,Ontario,HASTINGS WEST,Unknown,575,35.83
1872,Ontario,HURON CENTRE,Liberal,1354,60.94
1872,Ontario,HURON CENTRE,Unknown,868,39.06
1872,Ontario,HURON NORTH,Liberal-Conservative,1550,53.28
1872,Ontario,HURON NORTH,Liberal,1359,46.72
1872,Ontario,HURON SOUTH,Liberal,1393,51.57
1872,Ontario,HURON SOUTH,Independent,1308,48.43
1872,Ontario,KENT,Conservative,1874,52
1872,Ontario,KENT,Unknown,1730,48
1872,Ontario,KINGSTON,Liberal-Conservative,735,54.89
1872,Ontario,KINGSTON,Unknown,604,45.11
1872,Ontario,LAMBTON,Liberal,2190,58.48
1872,Ontario,LAMBTON,Conservative,1555,41.52
1872,Ontario,LANARK NORTH,Liberal,559,44.61
1872,Ontario,LANARK NORTH,Unknown,418,33.36
1872,Ontario,LANARK NORTH,Liberal-Conservative,276,22.03
1872,Ontario,LANARK SOUTH,Conservative,1476,72.42
1872,Ontario,LANARK SOUTH,Unknown,562,27.58
1872,Ontario,LEEDS NORTH AND GRENVILLE NORTH,Conservative,963,55.54
1872,Ontario,LEEDS NORTH AND GRENVILLE NORTH,Unknown,771,44.46
1872,Ontario,LEEDS SOUTH,Liberal,1270,50.24
1872,Ontario,LEEDS SOUTH,Unknown,1258,49.76
1872,Ontario,LENNOX,Liberal,1224,70.47
1872,Ontario,LENNOX,Unknown,513,29.53
1872,Ontario,LINCOLN,Liberal,1118,66.83
1872,Ontario,LINCOLN,Unknown,555,33.17
1872,Ontario,LONDON,Liberal-Conservative,1101,58.01
1872,Ontario,LONDON,Unknown,797,41.99
1872,Ontario,MIDDLESEX EAST,Conservative,1890,50.71
1872,Ontario,MIDDLESEX EAST,Unknown,1837,49.29
1872,Ontario,MIDDLESEX NORTH,Liberal,accl.,NA
1872,Ontario,MIDDLESEX WEST,Liberal,1322,50.94
1872,Ontario,MIDDLESEX WEST,Conservative,1266,48.79
1872,Ontario,MIDDLESEX WEST,Unknown,7,0.27
1872,Ontario,MONCK,Liberal,1334,50.78
1872,Ontario,MONCK,Liberal-Conservative,1293,49.22
1872,Ontario,MUSKOKA,Liberal,651,55.12
1872,Ontario,MUSKOKA,Unknown,530,44.88
1872,Ontario,NIAGARA,Conservative,300,50.17
1872,Ontario,NIAGARA,Unknown,298,49.83
1872,Ontario,NORFOLK NORTH,Liberal,1324,50.96
1872,Ontario,NORFOLK NORTH,Conservative,1274,49.04
1872,Ontario,NORFOLK SOUTH,Conservative,1208,52.39
1872,Ontario,NORFOLK SOUTH,Unknown,1098,47.61
1872,Ontario,NORTHUMBERLAND EAST,Liberal-Conservative,1515,51.44
1872,Ontario,NORTHUMBERLAND EAST,Independent Liberal,1430,48.56
1872,Ontario,NORTHUMBERLAND WEST,Conservative,accl.,NA
1872,Ontario,ONTARIO NORTH,Conservative,1835,53.11
1872,Ontario,ONTARIO NORTH,Liberal,1620,46.89
1872,Ontario,ONTARIO SOUTH,Liberal-Conservative,1466,51.64
1872,Ontario,ONTARIO SOUTH,Unknown,1373,48.36
1872,Ontario,ONTARIO SOUTH,Unknown,NULL,NA
1872,Ontario,OTTAWA (CITY OF),Conservative,accl.,NA
1872,Ontario,OTTAWA (CITY OF),Liberal-Conservative,accl.,NA
1872,Ontario,OXFORD NORTH,Liberal,accl.,NA
1872,Ontario,OXFORD SOUTH,Liberal,accl.,NA
1872,Ontario,PEEL,Liberal,1261,50.32
1872,Ontario,PEEL,Conservative,1245,49.68
1872,Ontario,PERTH NORTH,Liberal-Conservative,1848,50.77
1872,Ontario,PERTH NORTH,Liberal,1792,49.23
1872,Ontario,PERTH SOUTH,Liberal,1683,57.26
1872,Ontario,PERTH SOUTH,Unknown,1256,42.74
1872,Ontario,PETERBOROUGH EAST,Conservative,804,51.67
1872,Ontario,PETERBOROUGH EAST,Unknown,752,48.33
1872,Ontario,PETERBOROUGH WEST,Liberal,735,51.15
1872,Ontario,PETERBOROUGH WEST,Conservative,702,48.85
1872,Ontario,PRESCOTT,Liberal,accl.,NA
1872,Ontario,PRINCE EDWARD,Liberal,1759,51.98
1872,Ontario,PRINCE EDWARD,Conservative,1625,48.02
1872,Ontario,RENFREW NORTH,Liberal,777,53.51
1872,Ontario,RENFREW NORTH,Conservative,675,46.49
1872,Ontario,RENFREW SOUTH,Liberal-Conservative,916,58.68
1872,Ontario,RENFREW SOUTH,Liberal,645,41.32
1872,Ontario,RUSSELL,Conservative,1217,56.11
1872,Ontario,RUSSELL,Liberal,952,43.89
1872,Ontario,SIMCOE NORTH,Liberal,1908,50.74
1872,Ontario,SIMCOE NORTH,Conservative,1852,49.26
1872,Ontario,SIMCOE SOUTH,Liberal-Conservative,accl.,NA
1872,Ontario,STORMONT,Liberal,828,51.11
1872,Ontario,STORMONT,Liberal-Conservative,792,48.89
1872,Ontario,TORONTO CENTRE,Liberal,1216,50.58
1872,Ontario,TORONTO CENTRE,Unknown,1188,49.42
1872,Ontario,TORONTO EAST,Conservative,872,52.94
1872,Ontario,TORONTO EAST,Unknown,775,47.06
1872,Ontario,VICTORIA NORTH,Conservative,629,53.76
1872,Ontario,VICTORIA NORTH,Liberal,541,46.24
1872,Ontario,VICTORIA SOUTH,Conservative,1228,53.44
1872,Ontario,VICTORIA SOUTH,Unknown,1070,46.56
1872,Ontario,WATERLOO NORTH,Liberal,accl.,NA
1872,Ontario,WATERLOO SOUTH,Liberal,accl.,NA
1872,Ontario,WELLAND,Conservative,1590,60
1872,Ontario,WELLAND,Unknown,1060,40
1872,Ontario,WELLINGTON CENTRE,Liberal,1434,50.82
1872,Ontario,WELLINGTON CENTRE,Liberal-Conservative,1388,49.18
1872,Ontario,WELLINGTON NORTH,Liberal,1264,51.22
1872,Ontario,WELLINGTON NORTH,Liberal-Conservative,1204,48.78
1872,Ontario,WELLINGTON SOUTH,Liberal,accl.,NA
1872,Ontario,WENTWORTH NORTH,Liberal,1145,52.4
1872,Ontario,WENTWORTH NORTH,Unknown,1040,47.6
1872,Ontario,WENTWORTH SOUTH,Liberal,1203,54.73
1872,Ontario,WENTWORTH SOUTH,Unknown,995,45.27
1872,Ontario,WEST TORONTO,Conservative,1043,64.5
1872,Ontario,WEST TORONTO,Unknown,574,35.5
1872,Ontario,WEST TORONTO,Unknown,0,0
1872,Ontario,YORK EAST,Liberal,accl.,NA
1872,Ontario,YORK NORTH,Conservative,1769,54.28
1872,Ontario,YORK NORTH,Unknown,1490,45.72
1872,Ontario,YORK WEST,Liberal,973,56.15
1872,Ontario,YORK WEST,Unknown,760,43.85
1872,Quebec,ARGENTEUIL,Liberal-Conservative,accl.,NA
1872,Quebec,BAGOT,Conservative,1184,99.66
1872,Quebec,BAGOT,Unknown,4,0.34
1872,Quebec,BEAUCE,Liberal,1885,70.94
1872,Quebec,BEAUCE,Unknown,772,29.06
1872,Quebec,BEAUHARNOIS,Independent Conservative,854,52.78
1872,Quebec,BEAUHARNOIS,Conservative,764,47.22
1872,Quebec,BELLECHASSE,Liberal,1219,65.64
1872,Quebec,BELLECHASSE,Conservative,638,34.36
1872,Quebec,BERTHIER,Liberal,757,98.06
1872,Quebec,BERTHIER,Conservative,15,1.94
1872,Quebec,BERTHIER,Unknown,0,0
1872,Quebec,BONAVENTURE,Conservative,999,81.02
1872,Quebec,BONAVENTURE,Unknown,232,18.82
1872,Quebec,BONAVENTURE,Unknown,2,0.16
1872,Quebec,BROME,Conservative,1037,63.27
1872,Quebec,BROME,Unknown,602,36.73
1872,Quebec,CHAMBLY,Conservative,789,55.56
1872,Quebec,CHAMBLY,Unknown,631,44.44
1872,Quebec,CHAMPLAIN,Conservative,1369,53.14
1872,Quebec,CHAMPLAIN,Unknown,1207,46.86
1872,Quebec,CHARLEVOIX,Liberal,1485,65.59
1872,Quebec,CHARLEVOIX,Conservative,779,34.41
1872,Quebec,CHÂTEAUGUAY,Liberal,907,57.55
1872,Quebec,CHÂTEAUGUAY,Unknown,669,42.45
1872,Quebec,CHICOUTIMI--SAGUENAY,Liberal,955,51.85
1872,Quebec,CHICOUTIMI--SAGUENAY,Conservative,887,48.15
1872,Quebec,COMPTON,Liberal-Conservative,accl.,NA
1872,Quebec,DORCHESTER,Conservative,1044,59.05
1872,Quebec,DORCHESTER,Unknown,724,40.95
1872,Quebec,DRUMMOND--ARTHABASKA,Liberal,1251,49.19
1872,Quebec,DRUMMOND--ARTHABASKA,Unknown,1197,47.07
1872,Quebec,DRUMMOND--ARTHABASKA,Unknown,95,3.74
1872,Quebec,GASPÉ,Conservative,accl.,NA
1872,Quebec,HOCHELAGA,Conservative,1800,58.4
1872,Quebec,HOCHELAGA,Unknown,1282,41.6
1872,Quebec,HUNTINGDON,Liberal,accl.,NA
1872,Quebec,IBERVILLE,Liberal,accl.,NA
1872,Quebec,JACQUES CARTIER,Liberal,685,51.89
1872,Quebec,JACQUES CARTIER,Conservative,635,48.11
1872,Quebec,JOLIETTE,Conservative,accl.,NA
1872,Quebec,KAMOURASKA,Liberal,1143,52.24
1872,Quebec,KAMOURASKA,Conservative,1045,47.76
1872,Quebec,LAPRAIRIE,Conservative,632,52.89
1872,Quebec,LAPRAIRIE,Unknown,563,47.11
1872,Quebec,L'ASSOMPTION,Liberal-Conservative,905,54.45
1872,Quebec,L'ASSOMPTION,Unknown,757,45.55
1872,Quebec,LAVAL,Conservative,accl.,NA
1872,Quebec,LÉVIS,Liberal-Conservative,1564,51.46
1872,Quebec,LÉVIS,Independent,1475,48.54
1872,Quebec,L'ISLET,Liberal,646,51.89
1872,Quebec,L'ISLET,Conservative,599,48.11
1872,Quebec,LOTBINIÈRE,Liberal,accl.,NA
1872,Quebec,MASKINONGÉ,Liberal,910,57.2
1872,Quebec,MASKINONGÉ,Conservative,681,42.8
1872,Quebec,MÉGANTIC,Liberal,975,53.22
1872,Quebec,MÉGANTIC,Unknown,857,46.78
1872,Quebec,MISSISQUOI,Liberal-Conservative,1357,58.97
1872,Quebec,MISSISQUOI,Unknown,944,41.03
1872,Quebec,MONTCALM,Conservative,accl.,NA
1872,Quebec,MONTMAGNY,Liberal,675,53.19
1872,Quebec,MONTMAGNY,Conservative,594,46.81
1872,Quebec,MONTMORENCY,Conservative,769,70.16
1872,Quebec,MONTMORENCY,Unknown,327,29.84
1872,Quebec,MONTREAL CENTRE,Liberal-Conservative,accl.,NA
1872,Quebec,MONTREAL EAST,Liberal,3264,61.92
1872,Quebec,MONTREAL EAST,Liberal-Conservative,2007,38.08
1872,Quebec,MONTREAL WEST,Liberal,2138,61.79
1872,Quebec,MONTREAL WEST,Unknown,1322,38.21
1872,Quebec,NAPIERVILLE,Liberal,631,52.45
1872,Quebec,NAPIERVILLE,Liberal,572,47.55
1872,Quebec,NICOLET,Conservative,1423,92.22
1872,Quebec,NICOLET,Unknown,120,7.78
1872,Quebec,OTTAWA (COUNTY OF),Liberal-Conservative,accl.,NA
1872,Quebec,PONTIAC,Liberal-Conservative,1604,54.8
1872,Quebec,PONTIAC,Unknown,1323,45.2
1872,Quebec,PORTNEUF,Liberal,1179,51.11
1872,Quebec,PORTNEUF,Conservative,1128,48.89
1872,Quebec,QUEBEC COUNTY,Conservative,1415,81.74
1872,Quebec,QUEBEC COUNTY,Unknown,316,18.26
1872,Quebec,QUEBEC EAST,Conservative,accl.,NA
1872,Quebec,QUEBEC WEST,Liberal-Conservative,742,63.04
1872,Quebec,QUEBEC WEST,Unknown,435,36.96
1872,Quebec,QUEBEC-CENTRE,Independent,964,58.14
1872,Quebec,QUEBEC-CENTRE,Unknown,694,41.86
1872,Quebec,RICHELIEU,Conservative,1249,52.99
1872,Quebec,RICHELIEU,Independent Conservative,1108,47.01
1872,Quebec,RICHMOND--WOLFE,Conservative,893,43.45
1872,Quebec,RICHMOND--WOLFE,Unknown,483,23.5
1872,Quebec,RICHMOND--WOLFE,Unknown,389,18.93
1872,Quebec,RICHMOND--WOLFE,Unknown,290,14.11
1872,Quebec,RIMOUSKI,Liberal,1381,54.56
1872,Quebec,RIMOUSKI,Conservative,1150,45.44
1872,Quebec,ROUVILLE,Liberal,1033,51.39
1872,Quebec,ROUVILLE,Liberal,977,48.61
1872,Quebec,SAINT MAURICE,Conservative,accl.,NA
1872,Quebec,SHEFFORD,Liberal,1515,56.87
1872,Quebec,SHEFFORD,Unknown,1149,43.13
1872,Quebec,SHERBROOKE (TOWN OF),Conservative,accl.,NA
1872,Quebec,SOULANGES,Conservative,759,59.34
1872,Quebec,SOULANGES,Conservative,520,40.66
1872,Quebec,ST. HYACINTHE,Liberal,1099,54.92
1872,Quebec,ST. HYACINTHE,Unknown,902,45.08
1872,Quebec,ST. JOHN'S,Liberal,accl.,NA
1872,Quebec,STANSTEAD,Liberal-Conservative,accl.,NA
1872,Quebec,TÉMISCOUATA,Conservative,1125,98.34
1872,Quebec,TÉMISCOUATA,Unknown,17,1.49
1872,Quebec,TÉMISCOUATA,Liberal,2,0.17
1872,Quebec,TERREBONNE,Conservative,accl.,NA
1872,Quebec,THREE RIVERS,Conservative,accl.,NA
1872,Quebec,TWO MOUNTAINS,Liberal,accl.,NA
1872,Quebec,VAUDREUIL,Liberal-Conservative,962,56.96
1872,Quebec,VAUDREUIL,Unknown,727,43.04
1872,Quebec,VERCHÈRES,Liberal,963,83.23
1872,Quebec,VERCHÈRES,Liberal-Conservative,194,16.77
1872,Quebec,YAMASKA,Conservative,1047,61.95
1872,Quebec,YAMASKA,Liberal,643,38.05
1872,Ontario,WELLAND,Liberal,1539,50.98
1872,Ontario,WELLAND,Unknown,1480,49.02
1873,Quebec,BONAVENTURE,Conservative,accl.,NA
1873,Quebec,QUEBEC COUNTY,Conservative,accl.,NA
1873,Ontario,DURHAM WEST,Liberal,accl.,NA
1873,Nova Scotia,HANTS,Liberal,accl.,NA
1873,Nova Scotia,ANTIGONISH,Liberal-Conservative,accl.,NA
1873,Ontario,ONTARIO SOUTH,Liberal-Conservative,accl.,NA
1873,New Brunswick,CARLETON,Liberal,accl.,NA
1873,Prince Edward Island,KING'S COUNTY,Liberal-Conservative,accl.,NA
1873,Prince Edward Island,KING'S COUNTY,Conservative,accl.,NA
1873,Prince Edward Island,PRINCE COUNTY,Liberal,accl.,NA
1873,Prince Edward Island,PRINCE COUNTY,Conservative,accl.,NA
1873,Prince Edward Island,QUEEN'S COUNTY,Liberal,accl.,NA
1873,Prince Edward Island,QUEEN'S COUNTY,Liberal,accl.,NA
1873,Manitoba,PROVENCHER,Independent,accl.,NA
1873,Quebec,LAVAL,Liberal-Conservative,accl.,NA
1873,Ontario,LAMBTON,Liberal,accl.,NA
1873,Ontario,GLENGARRY,Liberal,accl.,NA
1873,Quebec,BELLECHASSE,Liberal,accl.,NA
1873,Quebec,NAPIERVILLE,Liberal,accl.,NA
1873,New Brunswick,WESTMORLAND,Liberal,accl.,NA
1873,New Brunswick,CITY AND COUNTY OF ST. JOHN,Liberal,accl.,NA
1873,New Brunswick,CITY OF ST. JOHN,Liberal,accl.,NA
1873,Ontario,LENNOX,Liberal,accl.,NA
1873,Prince Edward Island,QUEEN'S COUNTY,Liberal,accl.,NA
1873,Nova Scotia,SHELBURNE,Liberal,accl.,NA
1873,Ontario,BRUCE SOUTH,Liberal,accl.,NA
1873,Ontario,WEST TORONTO,Liberal,accl.,NA
1873,Nova Scotia,ANTIGONISH,Liberal,accl.,NA
1873,Nova Scotia,VICTORIA,Liberal,541,50.85
1873,Nova Scotia,VICTORIA,Conservative,523,49.15
1874,British Columbia,CARIBOO,Liberal-Conservative,192,82.76
1874,British Columbia,CARIBOO,Unknown,40,17.24
1874,British Columbia,NEW WESTMINSTER,Liberal,162,53.29
1874,British Columbia,NEW WESTMINSTER,Liberal-Conservative,142,46.71
1874,British Columbia,VANCOUVER,Liberal,209,63.33
1874,British Columbia,VANCOUVER,Unknown,84,25.45
1874,British Columbia,VANCOUVER,Unknown,37,11.21
1874,British Columbia,VICTORIA,Liberal,308,30.56
1874,British Columbia,VICTORIA,Independent Liberal,304,30.16
1874,British Columbia,VICTORIA,Unknown,299,29.66
1874,British Columbia,VICTORIA,Unknown,97,9.62
1874,British Columbia,YALE,Conservative,89,81.65
1874,British Columbia,YALE,Unknown,20,18.35
1874,Manitoba,LISGAR,Conservative,285,56.89
1874,Manitoba,LISGAR,Unknown,216,43.11
1874,Manitoba,MARQUETTE,Liberal,393,52.82
1874,Manitoba,MARQUETTE,Liberal,351,47.18
1874,Manitoba,PROVENCHER,Independent,195,73.86
1874,Manitoba,PROVENCHER,Unknown,69,26.14
1874,Manitoba,SELKIRK,Independent Conservative,329,59.39
1874,Manitoba,SELKIRK,Liberal,225,40.61
1874,New Brunswick,ALBERT,Liberal,810,51.59
1874,New Brunswick,ALBERT,Unknown,760,48.41
1874,New Brunswick,CARLETON,Liberal,accl.,NA
1874,New Brunswick,CHARLOTTE,Liberal,1518,55.4
1874,New Brunswick,CHARLOTTE,Liberal-Conservative,1222,44.6
1874,New Brunswick,CITY AND COUNTY OF ST. JOHN,Liberal,2826,42.51
1874,New Brunswick,CITY AND COUNTY OF ST. JOHN,Liberal,2261,34.01
1874,New Brunswick,CITY AND COUNTY OF ST. JOHN,Unknown,1561,23.48
1874,New Brunswick,CITY OF ST. JOHN,Liberal,1772,74.99
1874,New Brunswick,CITY OF ST. JOHN,Unknown,591,25.01
1874,New Brunswick,GLOUCESTER,Liberal,accl.,NA
1874,New Brunswick,KENT,Independent,1570,59.42
1874,New Brunswick,KENT,Liberal,1072,40.58
1874,New Brunswick,KING'S,Conservative,1651,54.31
1874,New Brunswick,KING'S,Independent,1389,45.69
1874,New Brunswick,NORTHUMBERLAND,Independent,1312,61.54
1874,New Brunswick,NORTHUMBERLAND,Unknown,820,38.46
1874,New Brunswick,QUEEN'S,Liberal,621,79.01
1874,New Brunswick,QUEEN'S,Unknown,135,17.18
1874,New Brunswick,QUEEN'S,Unknown,30,3.82
1874,New Brunswick,RESTIGOUCHE,Conservative,accl.,NA
1874,New Brunswick,SUNBURY,Liberal,556,52.9
1874,New Brunswick,SUNBURY,Unknown,495,47.1
1874,New Brunswick,VICTORIA,Liberal-Conservative,868,66.92
1874,New Brunswick,VICTORIA,Unknown,429,33.08
1874,New Brunswick,WESTMORLAND,Liberal,accl.,NA
1874,New Brunswick,YORK,Independent Liberal,accl.,NA
1874,Nova Scotia,ANNAPOLIS,Liberal,878,79.96
1874,Nova Scotia,ANNAPOLIS,Unknown,220,20.04
1874,Nova Scotia,ANTIGONISH,Liberal,accl.,NA
1874,Nova Scotia,CAPE BRETON,Conservative,1251,35.79
1874,Nova Scotia,CAPE BRETON,Liberal,1136,32.5
1874,Nova Scotia,CAPE BRETON,Liberal-Conservative,1108,31.7
1874,Nova Scotia,COLCHESTER,Liberal-Conservative,1429,52.12
1874,Nova Scotia,COLCHESTER,Liberal,1313,47.88
1874,Nova Scotia,CUMBERLAND,Conservative,1580,56.81
1874,Nova Scotia,CUMBERLAND,Unknown,1201,43.19
1874,Nova Scotia,DIGBY,Liberal-Conservative,1168,64.92
1874,Nova Scotia,DIGBY,Conservative,631,35.08
1874,Nova Scotia,GUYSBOROUGH,Liberal,759,58.25
1874,Nova Scotia,GUYSBOROUGH,Liberal-Conservative,544,41.75
1874,Nova Scotia,HALIFAX,Independent Liberal,3186,45.52
1874,Nova Scotia,HALIFAX,Independent,2979,42.56
1874,Nova Scotia,HALIFAX,Unknown,834,11.92
1874,Nova Scotia,HANTS,Liberal,1433,51.66
1874,Nova Scotia,HANTS,Conservative,1341,48.34
1874,Nova Scotia,INVERNESS,Liberal,1223,52.6
1874,Nova Scotia,INVERNESS,Liberal-Conservative,1102,47.4
1874,Nova Scotia,KINGS,Liberal,1043,52.46
1874,Nova Scotia,KINGS,Liberal,945,47.54
1874,Nova Scotia,LUNENBURG,Liberal,accl.,NA
1874,Nova Scotia,PICTOU,Liberal,2178,25.52
1874,Nova Scotia,PICTOU,Liberal,2124,24.89
1874,Nova Scotia,PICTOU,Liberal-Conservative,2123,24.87
1874,Nova Scotia,PICTOU,Conservative,2110,24.72
1874,Nova Scotia,QUEENS,Liberal,accl.,NA
1874,Nova Scotia,RICHMOND,Liberal,564,53.71
1874,Nova Scotia,RICHMOND,Unknown,486,46.29
1874,Nova Scotia,SHELBURNE,Liberal,accl.,NA
1874,Nova Scotia,VICTORIA,Liberal,accl.,NA
1874,Nova Scotia,YARMOUTH,Liberal,1192,61
1874,Nova Scotia,YARMOUTH,Unknown,762,39
1874,Ontario,ADDINGTON,Conservative,1275,56.49
1874,Ontario,ADDINGTON,Unknown,982,43.51
1874,Ontario,ALGOMA,Liberal,436,61.24
1874,Ontario,ALGOMA,Unknown,258,36.24
1874,Ontario,ALGOMA,Unknown,18,2.53
1874,Ontario,BOTHWELL,Liberal,1600,58.46
1874,Ontario,BOTHWELL,Unknown,1137,41.54
1874,Ontario,BRANT NORTH,Liberal,accl.,NA
1874,Ontario,BRANT SOUTH,Liberal,1463,58.94
1874,Ontario,BRANT SOUTH,Unknown,1019,41.06
1874,Ontario,BROCKVILLE,Liberal,910,51.18
1874,Ontario,BROCKVILLE,Conservative,868,48.82
1874,Ontario,BRUCE NORTH,Liberal,accl.,NA
1874,Ontario,BRUCE SOUTH,Liberal,2312,53.73
1874,Ontario,BRUCE SOUTH,Unknown,1991,46.27
1874,Ontario,CARDWELL,Conservative,1204,51.37
1874,Ontario,CARDWELL,Unknown,1140,48.63
1874,Ontario,CARLETON,Conservative,870,47.08
1874,Ontario,CARLETON,Unknown,631,34.15
1874,Ontario,CARLETON,Unknown,347,18.78
1874,Ontario,CORNWALL,Liberal,471,51.25
1874,Ontario,CORNWALL,Liberal-Conservative,448,48.75
1874,Ontario,DUNDAS,Independent Liberal,1389,51.35
1874,Ontario,DUNDAS,Unknown,1316,48.65
1874,Ontario,DURHAM EAST,Liberal,1373,65.54
1874,Ontario,DURHAM EAST,Unknown,722,34.46
1874,Ontario,DURHAM WEST,Liberal,1281,63.51
1874,Ontario,DURHAM WEST,Unknown,736,36.49
1874,Ontario,ELGIN EAST,Liberal,1886,52.53
1874,Ontario,ELGIN EAST,Unknown,1704,47.47
1874,Ontario,ELGIN WEST,Liberal,1216,57.71
1874,Ontario,ELGIN WEST,Unknown,891,42.29
1874,Ontario,ESSEX,Liberal,2508,58.72
1874,Ontario,ESSEX,Unknown,1763,41.28
1874,Ontario,FRONTENAC,Conservative,1172,62.74
1874,Ontario,FRONTENAC,Unknown,696,37.26
1874,Ontario,GLENGARRY,Liberal,1288,67.79
